ppm,Intensity,Sum,Residue,Peak 1,Peak 2,Peak 3,Peak 4
-732.238,268344,0,268344,0,0,0,0
-733.465,240622,0,240622,0,0,0,0
-734.692,212901,0,212901,0,0,0,0
-735.919,169742,0,169742,0,0,0,0
-737.146,126583,0,126583,0,0,0,0
-738.373,97458,0,97458,0,0,0,0
-739.6,68332.9,0,68332.9,0,0,0,0
-740.827,61639.5,0,61639.5,0,0,0,0
-742.054,54946.1,0,54946.1,0,0,0,0
-743.28,67899.9,0,67899.9,0,0,0,0
-744.507,80853.5,0,80853.5,0,0,0,0
-745.734,103280,0,103280,0,0,0,0
-746.961,125706,0,125706,0,0,0,0
-748.188,143922,0,143922,0,0,0,0
-749.415,162139,0,162139,0,0,0,0
-750.642,158164,0,158164,0,0,0,0
-751.869,154190,0,154190,0,0,0,0
-753.096,146005,0,146005,0,0,0,0
-754.323,137821,0,137821,0,0,0,0
-755.549,147003,0,147003,0,0,0,0
-756.776,156185,0,156185,0,0,0,0
-758.003,165367,0,165367,0,0,0,0
-759.23,174550,0,174550,0,0,0,0
-760.457,164046,0,164046,0,0,0,0
-761.684,153543,0,153543,0,0,0,0
-762.911,130059,0,130059,0,0,0,0
-764.138,106574,0,106574,0,0,0,0
-765.365,91685.6,0,91685.6,0,0,0,0
-766.591,93637.1,0,93637.1,0,0,0,0
-767.818,115937,0,115937,0,0,0,0
-769.045,138238,0,138238,0,0,0,0
-770.272,158784,0,158784,0,0,0,0
-771.499,162489,0,162489,0,0,0,0
-772.726,156021,0,156021,0,0,0,0
-773.953,149552,0,149552,0,0,0,0
-775.18,145276,0,145276,0,0,0,0
-776.407,141001,0,141001,0,0,0,0
-777.633,132515,0,132515,0,0,0,0
-778.86,124029,0,124029,0,0,0,0
-780.087,112363,0,112363,0,0,0,0
-781.314,100698,0,100698,0,0,0,0
-782.541,108679,0,108679,0,0,0,0
-783.768,116661,0,116661,0,0,0,0
-784.995,135782,0,135782,0,0,0,0
-786.222,154903,0,154903,0,0,0,0
-787.449,169813,0,169813,0,0,0,0
-788.675,184724,0,184724,0,0,0,0
-789.902,195951,0,195951,0,0,0,0
-791.129,207178,0,207178,0,0,0,0
-792.356,214194,0,214194,0,0,0,0
-793.583,221211,0,221211,0,0,0,0
-794.81,218492,0,218492,0,0,0,0
-796.037,215773,0,215773,0,0,0,0
-797.264,208844,0,208844,0,0,0,0
-798.491,201915,0,201915,0,0,0,0
-799.717,209107,0,209107,0,0,0,0
-800.944,216299,0,216299,0,0,0,0
-802.171,230859,0,230859,0,0,0,0
-803.398,245419,0,245419,0,0,0,0
-804.625,250418,0,250418,0,0,0,0
-805.852,238578,0,238578,0,0,0,0
-807.079,205336,0,205336,0,0,0,0
-808.306,172094,0,172094,0,0,0,0
-809.533,139992,0,139992,0,0,0,0
-810.76,107890,0,107890,0,0,0,0
-811.986,101049,0,101049,0,0,0,0
-813.213,94207.3,0,94207.3,0,0,0,0
-814.44,101750,0,101750,0,0,0,0
-815.667,109293,0,109293,0,0,0,0
-816.894,130870,0,130870,0,0,0,0
-818.121,152447,0,152447,0,0,0,0
-819.348,185294,0,185294,0,0,0,0
-820.575,218141,0,218141,0,0,0,0
-821.802,235201,0,235201,0,0,0,0
-823.028,235420,0,235420,0,0,0,0
-824.255,213186,0,213186,0,0,0,0
-825.482,190951,0,190951,0,0,0,0
-826.709,173278,0,173278,0,0,0,0
-827.936,172444,0,172444,0,0,0,0
-829.163,196959,0,196959,0,0,0,0
-830.39,238315,0,238315,0,0,0,0
-831.617,289844,0,289844,0,0,0,0
-832.844,341374,0,341374,0,0,0,0
-834.07,373607,0,373607,0,0,0,0
-835.297,389000,0,389000,0,0,0,0
-836.524,377378,0,377378,0,0,0,0
-837.751,365757,0,365757,0,0,0,0
-838.978,351745,0,351745,0,0,0,0
-840.205,337734,0,337734,0,0,0,0
-841.432,343369,0,343369,0,0,0,0
-842.659,349004,0,349004,0,0,0,0
-843.886,373760,0,373760,0,0,0,0
-845.112,398516,0,398516,0,0,0,0
-846.339,423273,0,423273,0,0,0,0
-847.566,448029,0,448029,0,0,0,0
-848.793,457567,0,457567,0,0,0,0
-850.02,467106,0,467106,0,0,0,0
-851.247,468224,0,468224,0,0,0,0
-852.474,469342,0,469342,0,0,0,0
-853.701,469057,0,469057,0,0,0,0
-854.928,468772,0,468772,0,0,0,0
-856.155,472697,0,472697,0,0,0,0
-857.381,476622,0,476622,0,0,0,0
-858.608,485788,0,485788,0,0,0,0
-859.835,494953,0,494953,0,0,0,0
-861.062,499909,0,499909,0,0,0,0
-862.289,504865,0,504865,0,0,0,0
-863.516,508241,0,508241,0,0,0,0
-864.743,511618,0,511618,0,0,0,0
-865.97,523415,0,523415,0,0,0,0
-867.197,535212,0,535212,0,0,0,0
-868.423,566788,0,566788,0,0,0,0
-869.65,598363,0,598363,0,0,0,0
-870.877,638359,0,638359,0,0,0,0
-872.104,678355,0,678355,0,0,0,0
-873.331,707123,0,707123,0,0,0,0
-874.558,735892,0,735892,0,0,0,0
-875.785,750627,0,750627,0,0,0,0
-877.012,765363,0,765363,0,0,0,0
-878.239,786632,0,786632,0,0,0,0
-879.466,807902,0,807902,0,0,0,0
-880.692,848819,0,848819,0,0,0,0
-881.919,889735,0,889735,0,0,0,0
-883.146,938019,0,938019,0,0,0,0
-884.373,986304,0,986304,0,0,0,0
-885.6,1.02055e+06,0,1.02055e+06,0,0,0,0
-886.827,1.05481e+06,0,1.05481e+06,0,0,0,0
-888.054,1.07397e+06,0,1.07397e+06,0,0,0,0
-889.281,1.09313e+06,0,1.09313e+06,0,0,0,0
-890.508,1.12633e+06,0,1.12633e+06,0,0,0,0
-891.734,1.15953e+06,0,1.15953e+06,0,0,0,0
-892.961,1.20431e+06,0,1.20431e+06,0,0,0,0
-894.188,1.24908e+06,0,1.24908e+06,0,0,0,0
-895.415,1.28544e+06,0,1.28544e+06,0,0,0,0
-896.642,1.32179e+06,0,1.32179e+06,0,0,0,0
-897.869,1.3555e+06,0,1.3555e+06,0,0,0,0
-899.096,1.3892e+06,0,1.3892e+06,0,0,0,0
-900.323,1.43693e+06,0,1.43693e+06,0,0,0,0
-901.55,1.48467e+06,0,1.48467e+06,0,0,0,0
-902.776,1.54451e+06,0,1.54451e+06,0,0,0,0
